ALBA,AB
ARAD,AR
ARGEȘ,AG
BACĂU,BC
BIHOR,BH
BISTRIȚA-NĂSĂUD,BN
BOTOȘANI,BT
BRĂILA,BR
BRAȘOV,BV
BUCUREȘTI,B
BUZĂU,BZ
CĂLĂRAȘI,CL
CARAȘ-SEVERIN,CS
CLUJ,CJ
CONSTANȚA,CT
COVASNA,CV
DÎMBOVIȚA,DB
DOLJ,DJ
GALAȚI,GL
GIURGIU,GR
GORJ,GJ
HARGHITA,HR
HUNEDOARA,HD
IALOMIȚA,IL
IAȘI,IS
ILFOV,IF
MARAMUREȘ,MM
MEHEDINȚI,MH
MUREȘ,MS
NEAMȚ,NT
OLT,OT
PRAHOVA,PH
SĂLAJ,SJ
SATU MARE,SM
SIBIU,SB
SUCEAVA,SV
TELEORMAN,TR
TIMIȘ,TM
TULCEA,TL
VASLUI,VS
VÎLCEA,VL
VRANCEA,VN
